instrument,hour_utc,url
EUR/USD,2016-07-01T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/19h_ticks.bi5
EUR/USD,2016-07-01T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/20h_ticks.bi5
EUR/USD,2016-07-01T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/21h_ticks.bi5
EUR/USD,2016-07-01T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/22h_ticks.bi5
EUR/USD,2016-07-01T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/23h_ticks.bi5
EUR/USD,2016-07-02T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/00h_ticks.bi5
EUR/USD,2016-07-02T01:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/01h_ticks.bi5
EUR/USD,2016-07-02T02:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/02h_ticks.bi5
EUR/USD,2016-07-02T03:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/03h_ticks.bi5
EUR/USD,2016-07-02T04:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/04h_ticks.bi5
EUR/USD,2016-07-02T05:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/05h_ticks.bi5
EUR/USD,2016-07-02T06:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/06h_ticks.bi5
EUR/USD,2016-07-02T07:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/07h_ticks.bi5
EUR/USD,2016-07-02T08:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/08h_ticks.bi5
EUR/USD,2016-07-02T09:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/09h_ticks.bi5
EUR/USD,2016-07-02T10:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/10h_ticks.bi5
EUR/USD,2016-07-02T11:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/11h_ticks.bi5
EUR/USD,2016-07-02T12:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/12h_ticks.bi5
EUR/USD,2016-07-02T13:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/13h_ticks.bi5
EUR/USD,2016-07-02T14:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/14h_ticks.bi5
EUR/USD,2016-07-02T15:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/15h_ticks.bi5
EUR/USD,2016-07-02T16:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/16h_ticks.bi5
EUR/USD,2016-07-02T17:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/17h_ticks.bi5
EUR/USD,2016-07-02T18:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/18h_ticks.bi5
EUR/USD,2016-07-02T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/19h_ticks.bi5
EUR/USD,2016-07-02T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/20h_ticks.bi5
EUR/USD,2016-07-02T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/21h_ticks.bi5
EUR/USD,2016-07-02T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/22h_ticks.bi5
EUR/USD,2016-07-02T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/23h_ticks.bi5
EUR/USD,2016-07-03T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/00h_ticks.bi5
EUR/USD,2016-07-03T01:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/01h_ticks.bi5
EUR/USD,2016-07-03T02:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/02h_ticks.bi5
EUR/USD,2016-07-03T03:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/03h_ticks.bi5
EUR/USD,2016-07-03T04:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/04h_ticks.bi5
EUR/USD,2016-07-03T05:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/05h_ticks.bi5
EUR/USD,2016-07-03T06:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/06h_ticks.bi5
EUR/USD,2016-07-03T07:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/07h_ticks.bi5
EUR/USD,2016-07-03T08:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/08h_ticks.bi5
EUR/USD,2016-07-03T09:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/09h_ticks.bi5
EUR/USD,2016-07-03T10:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/10h_ticks.bi5
EUR/USD,2016-07-03T11:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/11h_ticks.bi5
EUR/USD,2016-07-03T12:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/12h_ticks.bi5
EUR/USD,2016-07-03T13:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/13h_ticks.bi5
EUR/USD,2016-07-03T14:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/14h_ticks.bi5
EUR/USD,2016-07-03T15:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/15h_ticks.bi5
EUR/USD,2016-07-03T16:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/16h_ticks.bi5
EUR/USD,2016-07-03T17:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/17h_ticks.bi5
EUR/USD,2016-07-03T18:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/18h_ticks.bi5
EUR/USD,2016-07-03T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/19h_ticks.bi5
EUR/USD,2016-07-03T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/20h_ticks.bi5
EUR/USD,2016-07-03T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/21h_ticks.bi5
EUR/USD,2016-12-23T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/20h_ticks.bi5
EUR/USD,2016-12-23T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/21h_ticks.bi5
EUR/USD,2016-12-23T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/22h_ticks.bi5
EUR/USD,2016-12-23T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/23h_ticks.bi5
EUR/USD,2016-12-24T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/24/00h_ticks.bi5
EUR/USD,2016-12-24T01:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/24/01h_ticks.bi5
EUR/USD,2016-12-24T02:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/24/02h_ticks.bi5
EUR/USD,2016-12-24T03:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/24/03h_ticks.bi5
