url,document_date,title,classification,exclusion_reason,canonical_event_id,source_path,content_sha256,official_link_context
"https://www.federalreserve.gov/monetarypolicy/files/FOMC_LongerRunGoals_201701.pdf","2017-01-31","Statement on Longer-Run Goals and Monetary Policy Strategy (PDF)","strategy_document_excluded","Longer-run goals/strategy companion, not the decision statement","FOMC_2017-02-01_scheduled","sources/c3e08d0054973c17e3ee.pdf","480694b20cafbc06bc3e360e349a992d8951f0512f4cac2794918bff5323e037","Jan/Feb 31-1 Meeting - 2017 Beige Book: PDF | HTML Tealbook A (4.32 MB PDF) Tealbook B (2.15 MB PDF) Agenda (691 KB PDF) Statement Statement on Longer-Run Goals and Monetary Policy Strategy (PDF) 2017 Memos Minutes (Relea"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm","2016-01-27","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-01-27_scheduled","sources/e6e5c3023db92476c36a.html","66d8b1299ed37cfba4316db9888a7c38a74cec837a43db1790d5fb28aac5c41d","col-sm-8 col-md-9""> 2016 January 26-27 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.72 MB PDF) Tealbook B (2.15 MB PDF) Agenda (763 KB PDF) Statement Statement on Longer-Run Goals and Monetary Policy Strategy <a href=""/"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127b.htm","2016-01-27","Federal Open Market Committee reaffirms its ""Statement on Longer-Run Goals and Monetary Policy Strategy""","strategy_document_excluded","Longer-run goals/strategy companion, not the decision statement","FOMC_2016-01-27_scheduled","sources/3d8807f724a83e5a46dd.html","b241065667a133dfc299744dd507cdbf7fcaea386a9f8b9b39683589d843ea89","January 26-27 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.72 MB PDF) Tealbook B (2.15 MB PDF) Agenda (763 KB PDF) Statement Statement on Longer-Run Goals and Monetary Policy Strategy 2016 Memos Minutes (Relea"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm","2016-03-16","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-03-16_scheduled","sources/01de1f0f09c0ecd544a4.html","af4120919502323438b8876db57d97e73b5623c5d60d89d1562fba94d6ab93c8","ol-md-12""> Note: While preparing the January Tealbook A for public release, minor formatting errors were introduced on pages 35-66. Those pages have been restored and the document was reposted on March 21, 2025. March 15-16 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.88 MB PDF) Tealbook B (2.11 MB PDF) Agenda (795 KB PDF) Statement Press Conference 2016 Memos <e"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm","2016-04-27","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-04-27_scheduled","sources/97094e8777b101af02cb.html","db05ce955e749d868177c41cacde92b47893a3e142307ae7ded45cd6bd3ea135","Presentation materials (2.74 MB PDF) April 26-27 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (4.54 MB PDF) Tealbook B (2.21 MB PDF) Agenda (779 KB PDF) Statement 2016 Memos"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160615a.htm","2016-06-15","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-06-15_scheduled","sources/8ea63dbead66ee0cce5b.html","279d154e7bb796c32e5eb371470f981166dd54a3daba0d2ec7375856b61ae60f","Presentation materials (2.64 MB PDF) June 14-15 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.9 MB PDF) Tealbook B (2.27 MB PDF) Agenda (689 KB PDF) Statement Press Conference"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160727a.htm","2016-07-27","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-07-27_scheduled","sources/1f6f041b0bcbf1083dbc.html","c354f61d61f949ccc5689502b4b2465d0ff9540fd468466e3335fccd7d7b5e64","Presentation materials (1.57 MB PDF) July 26-27 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (4.21 MB PDF) Tealbook B (2.11 MB PDF) Agenda (782 KB PDF) Statement 2016 Memos"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20160921a.htm","2016-09-21","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-09-21_scheduled","sources/b918ae742ec284936263.html","32f42bdf82bada29f98fa625eb528586feb5ce55bb03db36401e11c69b633497","Presentation materials (2.89 MB PDF) September 20-21 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.83 MB PDF) Tealbook B (2.27 MB PDF) Agenda (686 KB PDF) Statement Press Conference 2016 Memos <e"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20161102a.htm","2016-11-02","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-11-02_scheduled","sources/352595e151a6f0f702f7.html","8fecac1cd92ec2cb3adfa366b7bbcfcc1ddb8219ebdb0bc7d1d14c7196fe5043","Presentation materials (2.76 MB PDF) November 1-2 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.79 MB PDF) Tealbook B (2.49 MB PDF) Agenda (686 KB PDF) Statement 2016 Memos"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20161214a.htm","2016-12-14","Federal Reserve issues FOMC statement","canonical_statement_retained","Official history Statement link and actual FOMC statement identity","FOMC_2016-12-14_scheduled","sources/4458ddbd45d9a99dc2b9.html","96242638897ead7189990f0705e6463599c943eeca3120b82c61375a1ed533a8","Presentation materials (3.09 MB PDF) December 13-14 Meeting - 2016 Beige Book: PDF | HTML Tealbook A (3.43 MB PDF) Tealbook B (2.67 MB PDF) Agenda (686 KB PDF) Statement Press Conference 2016 Memos <e"
